Ticket_final,Fecha aviso incidencia_final,Categoria de incidencia_final,Tipo Incidencia_final,Tipo de producto_final,Descripcion_final,Operador_final,Distrito_final,Cantidad de clientes afectados_final,Clientes afectados_final,Criticidad Incidencia_final,Tipo de trabajo_final,Reportado Por_final,tipo_cliente_final,Operador_orig_final,Reportado Por_orig_final,outlier_Cantidad de clientes afectados_final,missing_Cantidad de clientes afectados_final,miss_tipo_producto,miss_operador_orig,miss_cantidad_clientes,miss_tipo_cliente
TCK_E2A27F0EED,2/02/24 14:00,Sin potencia,PEXT,FTTH,CTO_C0001 Y 5 DEL DIVICAU_D0036 CLUSTER_L0003 DIST_009 CUANTAN SIN POTENCIA,<CLIENT_03>,DIST_009,2.0,Sí,Leve,Emergencia,CLIENT_08,Operador,<CLIENT_03>,<CLIENT_03>,False,0,0,0,0,0
TCK_7FA9570569,1/29/2024 9:00 AM,Corte de fibra,PEXT,FTTH,DIST_006-FIBRA TRONCAL_T4CDB35C410 ESTA ROTA POR ROEDOR EN DIVICAU_D0013 TRONCAL_TCB988D31D9,<CLIENT_02>,DIST_006,6.0,Sí,Leve,Emergencia,CLIENT_02,Operador,<CLIENT_02>,<CLIENT_02>,True,0,0,0,0,0
TCK_DBBA1E0C7D,1/02/24 14:00,Otros,PINT,FTTH,REORDENAMIENTO DE JUMPERS Y MOVIMIENTO DE OLT,<CLIENT_INTERNAL>,DIST_010,0.0,No,Leve,Correctivo,Internal Customer,Interno,<CLIENT_INTERNAL>,<CLIENT_INTERNAL>,False,1,0,0,1,0
TCK_4DF3D92501,12/03/23 18:00,Otros,PEXT,FTTH,INSPECCION Y LEVANTAMIENTO DE INFORMACION DE <THIRD_02>,<CLIENT_02>,DIST_008,0.0,No,Crítico,Correctivo,Internal Customer,Operador,<CLIENT_02>,<CLIENT_INTERNAL>,False,1,0,0,1,0
TCK_EDAC429E9E,1/23/2024 9:00 AM,Reubicación de FO,PEXT,FTTH,REUBICACION DE PASIVOS SIN FERRETERIA A POSTE DE <THIRD_01>,<CLIENT_INTERNAL>,DIST_010,0.0,No,Leve,Correctivo,Internal Customer,Interno,<CLIENT_INTERNAL>,<CLIENT_INTERNAL>,False,1,0,0,1,0
TCK_120EB88226,1/23/2024 10:00 AM,Otros,PEXT,FTTH,EMPALMAR <ADDRESS> AL ENLACE DE <CLIENT_11>,<CLIENT_02>,DIST_001,0.0,No,Leve,Correctivo,Internal Customer,Operador,<CLIENT_02>,<CLIENT_INTERNAL>,False,1,0,0,1,0
TCK_F9A096570C,1/26/2024 10:00 AM,Reubicación de FO,PEXT,FTTH,REUBICACION DE CTO_C0025 EN NUEVO POSTE DE <THIRD_01>. POSIBLE AFECTACION DE SERVICIO A USUARIOS FINALES <CLIENT_12>,<CLIENT_03>,DIST_009,0.0,Sí,Leve,Correctivo,CLIENT_08,Operador,<CLIENT_03>,<CLIENT_03>,False,0,0,0,0,0
TCK_5D7C2E933D,1/17/2024 11:00 AM,Otros,PEXT,FTTH,INSPECCION DE ELEMENTOS PASIVOS DE LA RED EN DIST_001,Desconocido,DIST_001,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,1,0,1,1,0
TCK_043914E914,1/18/2024 4:00 PM,Reubicación de FO,PEXT,FTTH,REUBICACION DE FIBRA A POSTE PROYECTADO DE <THIRD_01>,Desconocido,DIST_001,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,1,0,1,1,0
TCK_1EB2A9CE4A,1/23/2024 4:00 PM,Otros,PEXT,FTTH,ADOSAR CTO A MOTANTE-EDIF <ADDRESS>,<CLIENT_02>,DIST_010,0.0,No,Leve,Correctivo,CLIENT_02,Operador,<CLIENT_02>,<CLIENT_02>,False,1,0,0,1,0
